gmdn,emdn,deviceproblem,patientproblem
33581,L26,A04,E23
33581,L26,A04,E24
33581,L26,A05,E16
33581,L26,A12,E16
33581,L26,A18,E24
33581,L26,A18,F27
33581,L26,A24,E04
33581,L26,A24,E16
33581,L26,A24,E19
33581,L26,A24,E20
33581,L26,A24,E23
33581,L26,A24,E24
33581,L26,A26,E16
33581,L26,A26,E19
33581,L26,A26,E23
33581,L26,A27,E16
33581,L26,A27,E23
33586,L26,A07,E24
33586,L26,A09,E24
33586,L26,A09,F26
33586,L26,A09,F27
33586,L26,A11,E24
33586,L26,A13,E24
33586,L26,A16,E24
33586,L26,A16,F27
33586,L26,A24,E17
33664,L26,A01,E16
33664,L26,A01,E23
33664,L26,A27,E19
33692,L26,A05,E16
33692,L26,A24,E16
33692,L26,A24,E19
33692,L26,A24,E23
33692,L26,A24,E24
33692,L26,A26,E19
33695,C010103,A01,E16
33695,C010103,A01,E21
33695,C010103,A01,E23
33695,C010103,A05,E16
33695,C010103,A24,E16
33695,C010103,A24,E19
33695,C010103,A24,E23
33711,A019013,A01,E16
33711,A019013,A01,E19
33711,A019013,A01,E23
33711,A019013,A04,E16
33711,A019013,A04,E20
33711,A019013,A04,E21
33711,A019013,A04,E23
33711,A019013,A04,E24
33711,A019013,A05,E16
33711,A019013,A05,E20
33711,A019013,A05,E21
33711,A019013,A05,E23
33711,A019013,A05,E24
33711,A019013,A15,E24
33711,A019013,A24,E16
33711,A019013,A24,E19
33711,A019013,A24,E21
33711,A019013,A24,E23
33711,A019013,A24,E24
33711,A019013,A26,E19
33711,A019013,A27,E16
33711,A019013,A27,E19
33711,A019013,A27,E23
33711,A019013,A27,E24
33718,H900304,A24,E21
33745,L26,A01,E16
33745,L26,A24,E16
33745,L26,A24,E23
33819,V0903,A09,E24
33819,V0903,A09,F26
33961,C010103,A04,E24
33961,C010103,A04,F26
33968,L26,A04,E20
33968,L26,A04,E21
33968,L26,A04,E24
33968,L26,A04,F26
33968,L26,A04,F27
