GMDN,EMDN,score
10796,H90020103,0.7965370714664459
10797,A019013,0.7267391979694366
10817,H90020103,0.7622288465499878
10825,Y0999,0.8099246919155121
10827,A019013,0.8866845965385437
10828,A019013,0.8861973583698273
10847,M050101,0.6803592890501022
10869,L26,0.9395902454853058
10873,L01040502,0.7793125808238983
10876,L0102,0.9063907265663148
10895,L26,0.9399080872535706
10904,A019013,0.8168372511863708
10906,L26,0.8939939141273499
10907,B0399,0.8324153125286102
10908,A019013,0.8383324146270752
10943,W0202030201,0.8982324302196503
10960,B0399,0.7759212553501129
10969,F900402,0.900422990322113
10980,H900303,0.7405182123184204
11010,A010506,0.8407726883888245
11028,H010202020302,0.7827227413654327
11052,H90020103,0.7309196591377258
11062,H010202020302,0.7916290760040283
11067,L26,0.81214639544487
11068,K0107,0.7670776844024658
11090,M050101,0.8716864585876465
11095,M03030203,0.7237118184566498
11100,A019013,0.8838789761066437
11111,M03030203,0.7555997967720032
11130,C04020201,0.7945011854171753
11155,A019013,0.8719850182533264
11158,H010202020302,0.623821884393692
11159,B0399,0.7435967028141022
11168,B0399,0.7092829942703247
11170,H90020103,0.6128608584403992
11171,H900303,0.7705287635326385
11172,A019013,0.8639164566993713
11177,H90020103,0.9300145506858826
11179,L26,0.6739179193973541
11202,L26,0.8718173801898956
11226,B0399,0.7463786900043488
11239,M050201,0.6174845695495605
11246,L0102,0.8577307164669037
11248,W02020502,0.6145379096269608
11255,L0206,0.6386740207672119
11256,W02070102,0.8087719082832336
11260,Q01010103,0.8185348808765411
11261,H900301,0.6547459959983826
11262,L0204,0.8817879557609558
11263,L26,0.8162696063518524
11264,L26,0.7704356908798218
11265,L26,0.8423059284687042
11266,H900304,0.8704998195171356
11267,A019013,0.5820843577384949
11268,L26,0.8929724395275116
11290,A010601,0.82042595744133
11301,C04020299,0.8536908030509949
11305,H900305,0.8368633687496185
11307,A010601,0.6777420938014984
11313,H900303,0.6886433959007263
11330,L0206,0.813652366399765
11332,L26,0.9264348745346068
11334,L26,0.9056248664855956
11337,A019013,0.7371625602245331
11339,A019013,0.8426415324211121
11371,C04020201,0.8130806088447571
11389,W02079003,0.9221612811088562
11413,A019013,0.8673756420612335
11425,A019013,0.6109500229358673
11434,B030299,0.873171865940094
11440,K0199,0.9280571341514589
11441,M050101,0.9046280980110168
11452,H900303,0.8033598363399506
11460,M050101,0.7805387079715729
11467,M03030203,0.8446193933486938
11474,A019013,0.8242595493793488
11479,M03030203,0.7478787899017334
11480,M03030203,0.7541026473045349
11482,H90020103,0.7204474210739136
11484,H900303,0.8997782170772552
11490,M03030203,0.8360948860645294
11500,M050101,0.8968083560466766
11507,C04020299,0.8702223896980286
11522,L26,0.8219314813613892
11531,H010202020302,0.7691378891468048
11583,K0107,0.7526046931743622
11585,A010601,0.7891953587532043
11588,H900303,0.7616312801837921
11600,L0206,0.8023237586021423
11614,H90020103,0.7570624649524689
11638,H90020103,0.8649769127368927
11653,A019013,0.6153368651866913
11655,H010202020302,0.774356335401535
11661,H010202020302,0.7357081770896912
11675,A010601,0.878093808889389
11677,B0399,0.8364972174167633
11702,A019013,0.7735247910022736
11703,L26,0.9042612612247468
11704,B0399,0.8780183792114258
11711,A019013,0.894061416387558
11719,A019013,0.7564307749271393
11744,H900303,0.8677532374858856
11772,H900303,0.6467798948287964
11775,M050101,0.9321739673614502
11785,M03030203,0.6525871753692627
11791,C010103,0.9039866626262664
11792,H010202020302,0.6876168847084045
11798,H900303,0.9060736894607544
11799,H90020103,0.7304557859897614
11850,M03030203,0.6525570452213287
11885,H900303,0.6058386415243149
11894,M050102,0.6756844520568848
11902,A019013,0.8078287839889526
11905,C010103,0.9480727910995485
11950,M050101,0.8715495765209198
11961,K0107,0.8657219111919403
11973,C010103,0.9147516191005708
11989,U020302,0.7051574736833572
11991,A019013,0.7329252362251282
12032,C010103,0.9346053898334504
12036,L0104080101,0.8386457860469818
12050,B0399,0.9184712767601012
12061,L0204,0.7488332688808441
12082,H90020103,0.529737614095211
12095,C04020199,0.7551734447479248
12096,C04020299,0.7346109449863434
12097,L26,0.9044218361377716
12099,A019013,0.8005838990211487
12101,M050101,0.9053205847740172
12102,L0104080101,0.7236347496509552
12103,A019013,0.8438031077384949
12132,C010103,0.955135315656662
12135,H010202020302,0.7831890881061554
12143,A019003,0.8950542211532593
12144,H900303,0.7834540605545044
12155,C010103,0.9274296760559082
12159,K0107,0.8052944839000702
12170,V0905,0.8808527588844299
12223,M050101,0.7494275867938995
12235,M050101,0.8925578594207764
12236,H900303,0.8562717139720917
12245,A019013,0.7889923453330994
12253,A019013,0.798796534538269
12255,H900102,0.5952930003404617
12276,A010601,0.8530260026454926
12282,W0202059010,0.8119982182979584
12291,L26,0.6107150316238403
12292,M03030203,0.8423572778701782
12294,L0102,0.7620591521263123
12301,L26,0.7568581402301788
12304,A019013,0.7506527006626129
12318,B0399,0.7940349876880646
12319,L26,0.798111230134964
12326,A019013,0.9360698461532592
12330,C04020299,0.8944781720638275
12351,L01040402,0.8191757202148438
12352,L01040402,0.8942814469337463
12379,A019013,0.8542400598526001
12391,L26,0.8974786102771759
12404,K0107,0.8009591400623322
12408,A019013,0.7412253618240356
12442,A019013,0.8440802991390228
12463,C04020201,0.7881842255592346
12500,H010202020302,0.6958598494529724
12505,A010506,0.6779268980026245
12506,A019013,0.8346205353736877
12507,M050102,0.4833302646875381
12516,B0399,0.8615991473197937
12535,R060102,0.7197968363761902
12538,H900304,0.9055984318256378
12542,W02079002,0.9384479224681854
12554,C010103,0.9404060244560242
12557,B0399,0.863722026348114
12570,Y0999,0.8025413155555725
12609,A019013,0.8305167257785797
12662,A019013,0.7873320877552032
12692,A019013,0.7531192600727081
12695,L0104080101,0.9198441207408904
12696,B0399,0.9266603887081146
12699,H90020103,0.6291444301605225
12716,Y0999,0.8363350033760071
12719,H90020103,0.7328028976917267
12726,L26,0.8546434342861176
12732,A019013,0.8084138929843903
12739,L0206,0.8313563168048859
12740,M050101,0.6904064118862152
12741,A019013,0.8210764229297638
12747,H010202020302,0.8150619566440582
12750,C010103,0.9699293673038484
12805,L0102,0.7120563983917236
12811,P030101030203,0.7184052169322968
12844,Y0999,0.8802886307239532
12846,H900303,0.9175926744937896
12849,A019013,0.7243068516254425
12855,H900303,0.722886472940445
12861,L0102,0.933257222175598
12873,W02069003,0.8050922751426697
12875,K0199,0.8229792416095734
12893,B0399,0.7781802713871002
12950,L26,0.8123055398464203
12955,H90020103,0.7925215065479279
12963,A019013,0.860424280166626
12980,H900102,0.754561722278595
12990,L26,0.8470199406147003
12991,A019013,0.722358226776123
13017,A019013,0.6900754570960999
13039,M050102,0.7452480792999268
13056,A010601,0.7947784662246704
13085,A019013,0.8608024716377258
13088,B0399,0.7597399353981018
13100,L26,0.9515579342842102
13116,H900303,0.840129941701889
13120,M050101,0.898833155632019
13180,B0399,0.8959190249443054
13187,H900303,0.7238334715366364
13209,C04020201,0.7720434963703156
13215,L26,0.742382287979126
13217,A019013,0.6503531038761139
13232,A010601,0.8256754577159882
13235,A019013,0.7846538126468658
13236,A019013,0.7951049506664276
13274,H90020103,0.8256187438964844
13287,M03030203,0.7437509000301361
13291,H900303,0.7594632506370544
13299,A019013,0.9219593107700348
13340,A019013,0.8773057460784912
13356,M050101,0.9006316363811493
13366,L03140104,0.8146516978740692
13369,M050101,0.7978304922580719
13371,H900303,0.8719693124294281
13375,A019013,0.9107338190078736
13380,L1714,0.887372761964798
13384,M050101,0.8768601417541504
13392,A019013,0.8393367528915405
13393,A019013,0.88816899061203
13399,B0399,0.955031394958496
13418,A019013,0.7733782529830933
13459,M03030203,0.5135104060173035
13472,H010202020302,0.6386209428310394
13481,L0104080101,0.838019609451294
13486,L14010101,0.808536946773529
13487,L26,0.8808790743350983
13488,L250301,0.8249171674251556
13489,L26,0.7734372317790985
13490,B030299,0.7937618792057037
13492,W02020502,0.6225448250770569
13495,Q01010103,0.8767701089382172
13496,K0107,0.5778028964996338
13501,H90020103,0.7346298098564148
13502,Q01010103,0.7425596714019775
13507,M030506,0.742626965045929
13509,M03030203,0.8107258379459381
13514,A019013,0.7040827870368958
13538,H900303,0.8021821975708008
13543,H90020103,0.8479663729667664
13544,A019013,0.7807313501834869
13565,L26,0.7557387948036194
13570,H900303,0.6978261768817902
13575,H010202020302,0.6985387802124023
13576,A010601,0.7030114233493805
13583,H90020103,0.7610110938549042
13586,A019013,0.7859822809696198
13589,B0399,0.8353385925292969
13614,A019013,0.8253899216651917
13622,H010202020202,0.6793144643306732
13623,A019013,0.8811312019824982
13624,A019013,0.8979763388633728
13632,H010202020302,0.7276959121227264
13634,Q0102050102,0.6786333918571472
13635,M050102,0.594549685716629
13643,M050101,0.8713618218898773
13644,A010601,0.9094642996788024
13671,A019013,0.8486127853393555
13673,H900303,0.7970300018787384
13680,L0102,0.7963136732578278
13692,A019013,0.8401304185390472
13693,M050101,0.6970108151435852
13698,A019013,0.7981246709823608
